    0.6724    0.0080
    0.7417    0.1422
    0.8354    0.2597
    0.9175    0.3785
    0.9106    0.4306
    0.8687    0.4479
    0.8062    0.4146
    0.7427    0.3438
    0.6675    0.3358
    0.6421    0.4065
    0.6489    0.5320
    0.6763    0.7003
    0.6851    0.8712
    0.6548    0.9326
    0.6147    0.9045
    0.5806    0.7323
    0.5366    0.5427
    0.5435    0.7710
    0.5356    0.9566
    0.4819    0.9953
    0.4458    0.9419
    0.4429    0.7563
    0.4360    0.5494
    0.4009    0.7270
    0.3560    0.9072
    0.3149    0.9259
    0.2886    0.8805
    0.3091    0.6829
    0.3286    0.4760
    0.2388    0.6015
    0.1724    0.7083
    0.1196    0.7136
    0.1108    0.6656
    0.1821    0.4960
    0.2397    0.3745
    0.2534    0.1929
    0.2808    0.0080
